도형아이디,시도명,시군구명,읍면동명,법정동명,지번,도로명,건물번호,통정보,건물명,동정보,호정보,등본주소,계약주소,준공일,입주형태,지번주소,기준년도,년도값,공간아이디,면적,등급,공간정보,longitude,latitude
58310,경기도,구리시,수택3동,토평동,1001-12,검배로120번길,05월 21일,25통,조영타운,\N,102,경기도 구리시 수택3동 1001-12,경기도 구리시 토평동 1001-12번지,2003-06-26,다가구주택,경기도 구리시 토평동 1001-12번지,2010-09-21,2010,1122,17083.2705,2,POINT (127.151242004312 37.5932814914702),127.151242004312,37.5932814914702
19048,경기도,광명시,광명2동,광명동,Apr-62,광이로59번길,02월 01일,7통,선문시티빌,\N,B01,경기도 광명시 광명2동 62-4,경기도 광명시 광명동 62-4번지,2001-12-15,다세대주택,경기도 광명시 광명동 62-4번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858973673945 37.4838587210904),126.858973673945,37.4838587210904
22234,경기도,광명시,광명5동,광명동,288-81,광오로,12월 14일,16통,대동빌라,\N,B02,경기도 광명시 광명5동 288-81,경기도 광명시 광명동 288-81번지,2001-09-12,다세대주택,경기도 광명시 광명동 288-81번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851255785139 37.4759113776851),126.851255785139,37.4759113776851
22235,경기도,광명시,광명5동,광명동,288-81,광오로,12월 14일,16통,대동빌라,\N,B03,경기도 광명시 광명5동 288-81,경기도 광명시 광명동 288-81번지,2001-09-12,다세대주택,경기도 광명시 광명동 288-81번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851255785139 37.4759113776851),126.851255785139,37.4759113776851
22236,경기도,광명시,광명5동,광명동,288-83,광오로,12월 12일,16통,뒤로(B호),\N,\N,경기도 광명시 광명5동 288-83,경기도 광명시 광명동 288-83번지,1993-09-27,다가구주택,경기도 광명시 광명동 288-83번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.85117691143 37.4757310829478),126.85117691143,37.4757310829478
19049,경기도,광명시,광명2동,광명동,Apr-62,광이로59번길,02월 01일,7통,선문시티빌,\N,B02,경기도 광명시 광명2동 62-4,경기도 광명시 광명동 62-4번지,2001-12-15,다세대주택,경기도 광명시 광명동 62-4번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858973673945 37.4838587210904),126.858973673945,37.4838587210904
19050,경기도,광명시,광명2동,광명동,May-62,광이로59번길,4,7통,선문시티빌,\N,B01,경기도 광명시 광명2동 62-5,경기도 광명시 광명동 62-5번지,2001-12-15,다세대주택,경기도 광명시 광명동 62-5번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858928663125 37.4837325315381),126.858928663125,37.4837325315381
19051,경기도,광명시,광명2동,광명동,May-62,광이로59번길,4,7통,선문시티빌,\N,B02,경기도 광명시 광명2동 62-5,경기도 광명시 광명동 62-5번지,2001-12-15,다세대주택,경기도 광명시 광명동 62-5번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858928663125 37.4837325315381),126.858928663125,37.4837325315381
19052,경기도,광명시,광명2동,광명동,Jul-62,광이로59번길,6,7통,진아빌라,\N,B01,경기도 광명시 광명2동 62-7,경기도 광명시 광명동 62-7번지,1988-04-28,다세대주택,경기도 광명시 광명동 62-7번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858804862415 37.4834350158849),126.858804862415,37.4834350158849
19053,경기도,광명시,광명2동,광명동,Jul-62,광이로59번길,6,7통,진아빌라,\N,B02,경기도 광명시 광명2동 62-7,경기도 광명시 광명동 62-7번지,1988-04-28,다세대주택,경기도 광명시 광명동 62-7번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858804862415 37.4834350158849),126.858804862415,37.4834350158849
19054,경기도,광명시,광명2동,광명동,Aug-62,광이로59번길,8,7통,선문하이츠,\N,B01,경기도 광명시 광명2동 62-8,경기도 광명시 광명동 62-8번지,2002-03-27,다세대주택,경기도 광명시 광명동 62-8번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858748536026 37.4833178368785),126.858748536026,37.4833178368785
19055,경기도,광명시,광명2동,광명동,Aug-62,광이로59번길,8,7통,선문하이츠,\N,B02,경기도 광명시 광명2동 62-8,경기도 광명시 광명동 62-8번지,2002-03-27,다세대주택,경기도 광명시 광명동 62-8번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.858748536026 37.4833178368785),126.858748536026,37.4833178368785
