도형아이디,시도명,시군구명,읍면동명,법정동명,지번,도로명,건물번호,통정보,건물명,동정보,호정보,등본주소,계약주소,준공일,입주형태,지번주소,기준년도,년도값,공간아이디,면적,등급,공간정보,longitude,latitude
22042,경기도,광명시,광명5동,광명동,276-2,광오로16번길,16,15통,삼성쉐르빌,\N,B01,경기도 광명시 광명5동 276-2,경기도 광명시 광명동 276-2번지,2002-05-27,다세대주택,경기도 광명시 광명동 276-2번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851163835661 37.4766230431742),126.851163835661,37.4766230431742
22043,경기도,광명시,광명5동,광명동,276-2,광오로16번길,16,15통,삼성쉐르빌,\N,B02,경기도 광명시 광명5동 276-2,경기도 광명시 광명동 276-2번지,2002-05-27,다세대주택,경기도 광명시 광명동 276-2번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851163835661 37.4766230431742),126.851163835661,37.4766230431742
22051,경기도,광명시,광명5동,광명동,276-3,광오로16번길,14,15통,삼미빌라,\N,B01,경기도 광명시 광명5동 276-3,경기도 광명시 광명동 276-3번지,2000-10-11,다세대주택,경기도 광명시 광명동 276-3번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851118824841 37.4765239271692),126.851118824841,37.4765239271692
22052,경기도,광명시,광명5동,광명동,276-3,광오로16번길,14,15통,삼미빌라,\N,B02,경기도 광명시 광명5동 276-3,경기도 광명시 광명동 276-3번지,2000-10-11,다세대주택,경기도 광명시 광명동 276-3번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851118824841 37.4765239271692),126.851118824841,37.4765239271692
22063,경기도,광명시,광명5동,광명동,276-5,광오로16번길,10월 01일,15통,지하(안),\N,\N,경기도 광명시 광명5동 276-5,경기도 광명시 광명동 276-5번지,1985-11-12,기타제1종근린생활시설,경기도 광명시 광명동 276-5번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851017487632 37.476325527521),126.851017487632,37.476325527521
22064,경기도,광명시,광명5동,광명동,276-5,광오로16번길,10월 01일,15통,\N,\N,\N,경기도 광명시 광명5동 276-5,경기도 광명시 광명동 276-5번지,1985-11-12,기타제1종근린생활시설,경기도 광명시 광명동 276-5번지,2010-09-21,2010,3960,374674.2458,2,POINT (126.851017487632 37.476325527521),126.851017487632,37.476325527521
60920,경기도,시흥시,대야동,대야동,455-12,대야로,38,대야22통,\N,\N,\N,경기도 시흥시 대야동 455-12,경기도 시흥시 대야동 455-12번지,1992-11-10,다가구주택,경기도 시흥시 대야동 455-12번지,2011-07-27,2011,3083,391.5815,2,POINT (126.790402078438 37.446536285545),126.790402078438,37.446536285545
60919,경기도,시흥시,대야동,대야동,455-12,\N,\N,\N,두성,\N,\N,경기도 시흥시 대야동 455-12,경기도 시흥시 대야동 455-12번지,1992-11-10,다가구주택,경기도 시흥시 대야동 455-12번지,2011-07-27,2011,3083,391.5815,2,POINT (126.790402078438 37.446536285545),126.790402078438,37.446536285545
60865,경기도,시흥시,대야동,대야동,441-12,복지로99번길,17,대야12통,현대빌라,\N,B02,경기도 시흥시 대야동 441-12,경기도 시흥시 대야동 441-12번지,1994-08-12,다세대주택,경기도 시흥시 대야동 441-12번지,2011-07-27,2011,4269,792.3388599,2,POINT (126.79076803233 37.4490146885854),126.79076803233,37.4490146885854
60864,경기도,시흥시,대야동,대야동,441-12,복지로99번길,17,대야12통,현대빌라,\N,B01,경기도 시흥시 대야동 441-12,경기도 시흥시 대야동 441-12번지,1994-08-12,다세대주택,경기도 시흥시 대야동 441-12번지,2011-07-27,2011,4269,792.3388599,2,POINT (126.79076803233 37.4490146885854),126.79076803233,37.4490146885854
